threshold,min_accuracy,mean_accuracy,session1_to_session2,session2_to_session1
0.35,0.7707838479809976,0.7762369944130341,0.7816901408450704,0.7707838479809976
0.355,0.7767220902612827,0.7809666789334582,0.7852112676056338,0.7767220902612827
0.36,0.7779097387173397,0.7844947754619562,0.7910798122065728,0.7779097387173397
0.365,0.7779097387173397,0.7821473576215807,0.7863849765258216,0.7779097387173397
0.37,0.7767220902612827,0.7833140967738339,0.789906103286385,0.7767220902612827
0.375,0.7755344418052257,0.7821334180857114,0.7887323943661971,0.7755344418052257
0.38,0.7755344418052257,0.7827202725458053,0.789906103286385,0.7755344418052257
0.385,0.7814726840855107,0.7874499570662296,0.7934272300469484,0.7814726840855107
0.39,0.7790973871733967,0.7880228719904543,0.7969483568075117,0.7790973871733967
0.395,0.7731591448931117,0.7862274597704995,0.7992957746478874,0.7731591448931117
0.4,0.7779097387173397,0.7891896111427075,0.8004694835680751,0.7779097387173397
0.405,0.7767220902612827,0.7897694958348667,0.8028169014084507,0.7767220902612827
0.41,0.7779097387173397,0.7897764656028012,0.8016431924882629,0.7779097387173397
0.415,0.7790973871733967,0.7927177076712054,0.8063380281690141,0.7790973871733967
0.42,0.7802850356294537,0.7938983863593279,0.8075117370892019,0.7802850356294537
0.425,0.7802850356294537,0.7944852408194216,0.8086854460093896,0.7802850356294537
0.43,0.7838479809976246,0.7962667135035071,0.8086854460093896,0.7838479809976246
0.435,0.7850356294536817,0.7980342466517234,0.8110328638497653,0.7850356294536817
0.44,0.7909738717339667,0.7992428044115842,0.8075117370892019,0.7909738717339667
0.445,0.7921615201900237,0.8027709009400823,0.8133802816901409,0.7921615201900237
0.45,0.7909738717339667,0.8021770767120537,0.8133802816901409,0.7909738717339667
0.455,0.7909738717339667,0.8027639311721477,0.8145539906103286,0.7909738717339667
0.46,0.7897862232779097,0.802756961404213,0.8157276995305164,0.7897862232779097
0.465,0.7885985748218527,0.8009894282559968,0.8133802816901409,0.7885985748218527
0.47,0.7874109263657957,0.8003956040279683,0.8133802816901409,0.7874109263657957
0.475,0.7838479809976246,0.7986141313438828,0.8133802816901409,0.7838479809976246
0.48,0.7814726840855107,0.7980133373479197,0.8145539906103286,0.7814726840855107
0.485,0.7814726840855107,0.7986001918080136,0.8157276995305164,0.7814726840855107
0.49,0.7814726840855107,0.7986001918080136,0.8157276995305164,0.7814726840855107
0.495,0.7790973871733967,0.7968256888918627,0.8145539906103286,0.7790973871733967
0.5,0.7814726840855107,0.7980133373479197,0.8145539906103286,0.7814726840855107
0.505,0.7814726840855107,0.7968396284277319,0.812206572769953,0.7814726840855107
0.51,0.7790973871733967,0.7956519799716748,0.812206572769953,0.7790973871733967
0.515,0.7814726840855107,0.7968396284277319,0.812206572769953,0.7814726840855107
0.52,0.7826603325415677,0.7968465981956665,0.8110328638497653,0.7826603325415677
0.525,0.7826603325415677,0.7974334526557604,0.812206572769953,0.7826603325415677
0.53,0.7838479809976246,0.7968535679636011,0.8098591549295775,0.7838479809976246
0.535,0.7826603325415677,0.7968465981956665,0.8110328638497653,0.7826603325415677
0.54,0.7779097387173397,0.7944713012835525,0.8110328638497653,0.7779097387173397
0.545,0.7767220902612827,0.7927037681353362,0.8086854460093896,0.7767220902612827
0.55,0.7755344418052257,0.7938705072875893,0.812206572769953,0.7755344418052257
0.555,0.7755344418052257,0.7926967983674016,0.8098591549295775,0.7755344418052257
0.56,0.7755344418052257,0.7921099439073076,0.8086854460093896,0.7755344418052257
0.565,0.7767220902612827,0.7921169136752423,0.8075117370892019,0.7767220902612827
0.57,0.7779097387173397,0.792123883443177,0.8063380281690141,0.7779097387173397
0.575,0.7767220902612827,0.7915300592151484,0.8063380281690141,0.7767220902612827
0.58,0.7755344418052257,0.790349380527026,0.8051643192488263,0.7755344418052257
0.585,0.7743467933491687,0.7879949929187158,0.8016431924882629,0.7743467933491687
0.59,0.7731591448931117,0.7862274597704995,0.7992957746478874,0.7731591448931117
0.595,0.7731591448931117,0.7850537508503117,0.7969483568075117,0.7731591448931117
0.6,0.7707838479809976,0.7838661023942547,0.7969483568075117,0.7707838479809976
